dex,pokemon,fastmove,chargemove,WeaveDPS,WeaveDPS Percentile,TDO,TDO Percentile,~TDO per CP,~SurvivalTime
384,rayquaza,dragon tail,outrage,18.44,100,431,59.2,0.07,17.77401
373,salamence,dragon tail,draco meteor,18.14,98.37,417,57.28,0.07,17.49505
150,mewtwo,confusion,shadow ball,17.99,97.56,452,62.09,0.07,19.1179
384,rayquaza,air slash,outrage,17.38,94.25,406,55.77,0.07,17.77401
150,mewtwo,confusion,hyper beam,17.14,92.95,431,59.2,0.07,19.1179
149,dragonite,dragon tail,outrage,17,92.19,444,60.99,0.08,19.85675
150,mewtwo,confusion,focus blast,16.99,92.14,427,58.65,0.07,19.1179
150,mewtwo,psycho cut,shadow ball,16.9,91.65,425,58.38,0.07,19.1179
150,mewtwo,confusion,psychic,16.78,91,422,57.97,0.07,19.1179
149,dragonite,dragon tail,dragon claw,16.77,90.94,438,60.16,0.08,19.85675
94,gengar,shadow claw,shadow ball,16.63,90.18,235,32.28,0.06,10.73414
384,rayquaza,dragon tail,aerial ace,16.53,89.64,386,53.02,0.07,17.77401
65,alakazam,confusion,futuresight,16.51,89.53,264,36.26,0.06,12.15343
150,mewtwo,psycho cut,hyper beam,16.24,88.07,408,56.04,0.06,19.1179
94,gengar,shadow claw,sludge bomb,16.19,87.8,229,31.46,0.06,10.73414
373,salamence,dragon tail,hydro pump,16.15,87.58,372,51.1,0.07,17.49505
146,moltres,fire spin,overheat,16.1,87.31,383,52.61,0.07,18.10008
149,dragonite,dragon breath,outrage,16.09,87.26,420,57.69,0.07,19.85675
257,blaziken,counter,overheat,16.07,87.15,269,36.95,0.06,12.70851
150,mewtwo,psycho cut,focus blast,15.99,86.71,402,55.22,0.06,19.1179
149,dragonite,dragon tail,hurricane,15.96,86.55,417,57.28,0.07,19.85675
381,latios,dragon breath,dragon claw,15.95,86.5,416,57.14,0.07,19.84167
196,espeon,confusion,futuresight,15.93,86.39,296,40.66,0.06,14.11366
68,machamp,counter,dynamic punch,15.92,86.33,337,46.29,0.07,16.08896
382,kyogre,waterfall,hydro pump,15.91,86.28,512,70.33,0.08,24.4746
373,salamence,fire fang,draco meteor,15.88,86.12,365,50.14,0.07,17.49505
146,moltres,fire spin,flamethrower,15.86,86.01,378,51.92,0.07,18.10008
149,dragonite,dragon breath,dragon claw,15.8,85.68,413,56.73,0.07,19.85675
257,blaziken,fire spin,overheat,15.75,85.41,263,36.13,0.06,12.70851
385,jirachi,confusion,doom desire,15.74,85.36,468,64.29,0.1,22.58788
149,dragonite,dragon tail,dragon pulse,15.72,85.25,411,56.46,0.07,19.85675
136,flareon,fire spin,overheat,15.69,85.09,305,41.9,0.07,14.7922
149,dragonite,steel wing,outrage,15.69,85.09,410,56.32,0.07,19.85675
373,salamence,dragon tail,fire blast,15.66,84.92,360,49.45,0.06,17.49505
257,blaziken,counter,focus blast,15.63,84.76,261,35.85,0.06,12.70851
150,mewtwo,psycho cut,psychic,15.61,84.65,393,53.98,0.06,19.1179
381,latios,zen headbutt,dragon claw,15.61,84.65,407,55.91,0.07,19.84167
94,gengar,hex,sludge bomb,15.6,84.6,220,30.22,0.05,10.73414
149,dragonite,dragon tail,hyper beam,15.58,84.49,407,55.91,0.07,19.85675
384,rayquaza,air slash,aerial ace,15.49,84,362,49.73,0.06,17.77401
286,breloom,counter,dynamic punch,15.48,83.95,215,29.53,0.06,10.54472
65,alakazam,confusion,shadow ball,15.44,83.73,247,33.93,0.05,12.15343
243,raikou,thunder shock,wild charge,15.39,83.46,414,56.87,0.08,20.47686
65,alakazam,confusion,focus blast,15.36,83.3,246,33.79,0.05,12.15343
149,dragonite,steel wing,dragon claw,15.35,83.24,401,55.08,0.07,19.85675
94,gengar,sucker punch,sludge bomb,15.33,83.13,216,29.67,0.05,10.73414
