"","album_uri","album_name","album_img","album_release_date","album_release_year","album_popularity","track_name","track_uri","danceability","energy","key","loudness","mode","speechiness","acousticness","instrumentalness","liveness","valence","tempo","duration_ms","time_signature","key_mode","track_popularity"
"1","33TDfmEXufojT6jxgb3BTK","Pornography","https://i.scdn.co/image/fbec42025b461d54853ba6431f4eaaaa69e5a9e1","1982-05-03","1982-05-03",34,"One Hundred Years - Remastered Version","6o8bpkuFMRS2b25Vui9aDC",0.436,0.881,"G",-5.998,"major",0.0439,0.00123,0.509,0.108,0.262,132.59,401000,4,"G major",33
"2","33TDfmEXufojT6jxgb3BTK","Pornography","https://i.scdn.co/image/fbec42025b461d54853ba6431f4eaaaa69e5a9e1","1982-05-03","1982-05-03",34,"A Short Term Effect - Remastered Version","4GiVSZ0UcbW0vzVMLnBdDT",0.516,0.836,"C",-5.872,"major",0.0319,0.00171,0.165,0.136,0.649,116.566,262493,4,"C major",28
"3","33TDfmEXufojT6jxgb3BTK","Pornography","https://i.scdn.co/image/fbec42025b461d54853ba6431f4eaaaa69e5a9e1","1982-05-03","1982-05-03",34,"The Hanging Garden - Remastered Version","6mbZmbZ8wr5DA2CAB3q1GW",0.42,0.889,"C",-5.86,"major",0.0393,0.00402,0.488,0.0795,0.634,135.421,274240,4,"C major",35
"4","33TDfmEXufojT6jxgb3BTK","Pornography","https://i.scdn.co/image/fbec42025b461d54853ba6431f4eaaaa69e5a9e1","1982-05-03","1982-05-03",34,"Siamese Twins - Remastered Version","3x6F5xwseHgXIjptORmGAI",0.772,0.523,"D",-9.788,"major",0.0364,0.000298,0.795,0.282,0.752,94.194,328360,4,"D major",34
"5","33TDfmEXufojT6jxgb3BTK","Pornography","https://i.scdn.co/image/fbec42025b461d54853ba6431f4eaaaa69e5a9e1","1982-05-03","1982-05-03",34,"The Figurehead - Remastered Version","4MLYH01rrqDifXe06KAkfz",0.655,0.842,"A#",-5.349,"minor",0.0264,0.00125,0.642,0.11,0.727,110.37,375173,4,"A# minor",28
"6","33TDfmEXufojT6jxgb3BTK","Pornography","https://i.scdn.co/image/fbec42025b461d54853ba6431f4eaaaa69e5a9e1","1982-05-03","1982-05-03",34,"A Strange Day - Remastered Version","7GRcTA76jA5ptef1cqYAdb",0.603,0.964,"A",-7.245,"minor",0.043,0.000109,0.0801,0.119,0.564,112.798,303960,4,"A minor",31
"7","33TDfmEXufojT6jxgb3BTK","Pornography","https://i.scdn.co/image/fbec42025b461d54853ba6431f4eaaaa69e5a9e1","1982-05-03","1982-05-03",34,"Cold - Remastered Version","3XerBkjkILRc48huk5NkLG",0.473,0.832,"A#",-5.841,"minor",0.0283,0.0916,0.498,0.101,0.238,100.881,266573,4,"A# minor",31
"8","33TDfmEXufojT6jxgb3BTK","Pornography","https://i.scdn.co/image/fbec42025b461d54853ba6431f4eaaaa69e5a9e1","1982-05-03","1982-05-03",34,"Pornography - Remastered Version","3FsYdsgbCWzLd52KQIa3OG",0.423,0.829,"A#",-9.534,"major",0.0739,0.435,0.53,0.517,0.205,123.997,387867,4,"A# major",25
"9","6SCYoeXeQjxbrioUozsvo1","The Top","https://i.scdn.co/image/40bb47fe5c869ed7f7f83bda26739851dfb6a6e4","1984-04-30","1984-04-30",28,"Shake Dog Shake - Remastered","4twWBzrCi5Qtmth6XldoOT",0.353,0.914,"C",-5.474,"major",0.0438,0.0114,0.0119,0.321,0.158,166.084,296387,4,"C major",22
"10","6SCYoeXeQjxbrioUozsvo1","The Top","https://i.scdn.co/image/40bb47fe5c869ed7f7f83bda26739851dfb6a6e4","1984-04-30","1984-04-30",28,"Birdmad Girl - Remastered","2GEWv6dBcDEPNeDG9sqlnG",0.76,0.798,"B",-8.482,"minor",0.0332,0.00272,2e-04,0.0753,0.818,119.77,245413,4,"B minor",20
"11","6SCYoeXeQjxbrioUozsvo1","The Top","https://i.scdn.co/image/40bb47fe5c869ed7f7f83bda26739851dfb6a6e4","1984-04-30","1984-04-30",28,"Wailing Wall - Remastered","64H6iuoxbH7FCPP2DURTki",0.414,0.693,"D#",-10.718,"major",0.0427,0.0583,0.439,0.574,0.475,175.172,323173,4,"D# major",16
"12","6SCYoeXeQjxbrioUozsvo1","The Top","https://i.scdn.co/image/40bb47fe5c869ed7f7f83bda26739851dfb6a6e4","1984-04-30","1984-04-30",28,"Give Me It - Remastered","3lK8BHu0rgDbvRxi3aS9OT",0.468,0.973,"B",-6.793,"minor",0.161,3e-05,0.401,0.364,0.129,136.677,222760,4,"B minor",16
"13","6SCYoeXeQjxbrioUozsvo1","The Top","https://i.scdn.co/image/40bb47fe5c869ed7f7f83bda26739851dfb6a6e4","1984-04-30","1984-04-30",28,"Dressing Up - Remastered","18K1q6Sc4qDrwIL2t21c0X",0.59,0.605,"E",-6.677,"minor",0.0368,0.342,0.000114,0.109,0.503,80.009,171373,4,"E minor",20
"14","6SCYoeXeQjxbrioUozsvo1","The Top","https://i.scdn.co/image/40bb47fe5c869ed7f7f83bda26739851dfb6a6e4","1984-04-30","1984-04-30",28,"The Caterpillar - Remastered Version","52TvlkVyCQkCCehvE9nVFU",0.745,0.813,"D",-8.313,"major",0.0361,0.207,0.000503,0.437,0.87,123.883,221747,4,"D major",35
"15","6SCYoeXeQjxbrioUozsvo1","The Top","https://i.scdn.co/image/40bb47fe5c869ed7f7f83bda26739851dfb6a6e4","1984-04-30","1984-04-30",28,"Piggy In The Mirror - Remastered","7FA4BogXhcyzESjnfeEo58",0.678,0.775,"A",-6.143,"minor",0.0374,0.145,0,0.281,0.616,81.935,219920,4,"A minor",20
"16","6SCYoeXeQjxbrioUozsvo1","The Top","https://i.scdn.co/image/40bb47fe5c869ed7f7f83bda26739851dfb6a6e4","1984-04-30","1984-04-30",28,"The Empty World - Remastered","2CQc8ad4QihEHZxHiUVBbN",0.637,0.585,"A",-7.066,"minor",0.0233,0.171,0.00571,0.32,0.769,93.872,155893,4,"A minor",16
"17","6SCYoeXeQjxbrioUozsvo1","The Top","https://i.scdn.co/image/40bb47fe5c869ed7f7f83bda26739851dfb6a6e4","1984-04-30","1984-04-30",28,"Bananafishbones - Remastered","5eSAdgowgQzN89HsKVVmeb",0.567,0.827,"B",-7.163,"minor",0.0552,0.0994,0.00123,0.219,0.527,151.953,179693,4,"B minor",19
"18","6SCYoeXeQjxbrioUozsvo1","The Top","https://i.scdn.co/image/40bb47fe5c869ed7f7f83bda26739851dfb6a6e4","1984-04-30","1984-04-30",28,"The Top - Remastered","1apvzzPOQH6AcijyhLVBkW",0.848,0.539,"C",-11.376,"major",0.051,0.0509,0.227,0.29,0.133,128.105,418040,4,"C major",16
"19","6SCYoeXeQjxbrioUozsvo1","The Top","https://i.scdn.co/image/40bb47fe5c869ed7f7f83bda26739851dfb6a6e4","1984-04-30","1984-04-30",28,"You Stayed [RS Home Demo 8/82]","0QRpSBVnx3VHrmMxpv7S9V",0.547,0.638,"E",-8.534,"minor",0.0314,0.00997,0.832,0.116,0.84,92.513,140467,4,"E minor",12
"20","6SCYoeXeQjxbrioUozsvo1","The Top","https://i.scdn.co/image/40bb47fe5c869ed7f7f83bda26739851dfb6a6e4","1984-04-30","1984-04-30",28,"Ariel [RS Home Demo 8/82]","2cVEVRzoxQJiuxwVVtJbMz",0.492,0.517,"E",-9.824,"major",0.0334,0.395,0.0698,0.271,0.501,144.213,178667,4,"E major",11
"21","6SCYoeXeQjxbrioUozsvo1","The Top","https://i.scdn.co/image/40bb47fe5c869ed7f7f83bda26739851dfb6a6e4","1984-04-30","1984-04-30",28,"A Hand Inside My Mouth [Des Dames Studio Demo 8/83]","7vDznaO2VgpXAg5M5RExNq",0.503,0.581,"C#",-8.35,"major",0.0324,0.218,0.4,0.139,0.502,126.632,219667,4,"C# major",10
"22","6SCYoeXeQjxbrioUozsvo1","The Top","https://i.scdn.co/image/40bb47fe5c869ed7f7f83bda26739851dfb6a6e4","1984-04-30","1984-04-30",28,"Sadacic [Olympic Studio RS Demo 12/83]","5h69t1ZOWoRPHg8OlSJwY8",0.473,0.9,"C",-6.568,"major",0.049,9.92e-05,0.581,0.238,0.617,128.099,255293,4,"C major",10
"23","6SCYoeXeQjxbrioUozsvo1","The Top","https://i.scdn.co/image/40bb47fe5c869ed7f7f83bda26739851dfb6a6e4","1984-04-30","1984-04-30",28,"Shake Dog Shake [Garden /Eden Studios RS&AA Demo 12/83]","3vp4yfjs3yCMVpGSY3PmKt",0.334,0.806,"C",-7.664,"minor",0.0443,0.000753,0.611,0.258,0.226,164.832,295280,4,"C minor",10
"24","6SCYoeXeQjxbrioUozsvo1","The Top","https://i.scdn.co/image/40bb47fe5c869ed7f7f83bda26739851dfb6a6e4","1984-04-30","1984-04-30",28,"Piggy In The Mirror [Garden /Eden Studios RS&AA Demo 12/83]","0yR5OPsbFVOyv1QCe7S6EY",0.628,0.571,"A",-7.893,"major",0.0236,0.0566,0.0762,0.128,0.336,81.502,219440,4,"A major",10
"25","6SCYoeXeQjxbrioUozsvo1","The Top","https://i.scdn.co/image/40bb47fe5c869ed7f7f83bda26739851dfb6a6e4","1984-04-30","1984-04-30",28,"Birdmad Girl [Garden /Eden Studios RS&AA Demo 12/83]","0eQsdY1QNsb9vMHIxlquX2",0.806,0.598,"F#",-11.357,"minor",0.0457,0.0383,0.849,0.0829,0.842,118.712,215213,4,"F# minor",9
"26","6SCYoeXeQjxbrioUozsvo1","The Top","https://i.scdn.co/image/40bb47fe5c869ed7f7f83bda26739851dfb6a6e4","1984-04-30","1984-04-30",28,"Give Me It [Garden /Eden Studios RS&AA Demo 12/83]","1iHIInNRfzkJr8CyonhsPE",0.547,0.968,"D",-5.663,"major",0.0729,7.83e-05,0.0606,0.416,0.345,135.241,222027,4,"D major",8
"27","6SCYoeXeQjxbrioUozsvo1","The Top","https://i.scdn.co/image/40bb47fe5c869ed7f7f83bda26739851dfb6a6e4","1984-04-30","1984-04-30",28,"Throw Your Foot [Garden /Eden Studios RS&AA Demo 12/83]","1ogn7g5JIujNS6oKH6saVE",0.733,0.754,"B",-8.262,"minor",0.0403,0.0111,0.212,0.222,0.944,147.172,209227,4,"B minor",11
"28","6SCYoeXeQjxbrioUozsvo1","The Top","https://i.scdn.co/image/40bb47fe5c869ed7f7f83bda26739851dfb6a6e4","1984-04-30","1984-04-30",28,"Happy The Man [Garden /Eden Studios RS&AA Demo 12/83]","1E3700UNUBQxVhkEDSjFq0",0.762,0.46,"A",-11.39,"major",0.0339,0.642,0.849,0.0737,0.864,109.003,164840,4,"A major",10
"29","1ETZiFVSXzYsiIZ0PUkMKP","Concert - The Cure Live","https://i.scdn.co/image/7c0e2a9d678916b8fdc64a450e441e8d3466ffd6","1984-10-22","1984-10-22",26,"Shake Dog Shake - Live Version (1984)","45uAGpijGtAsC9b0oitga2",0.364,0.752,"G",-12.719,"minor",0.039,0.0328,0.00452,0.421,0.344,100.743,256933,4,"G minor",21
"30","1ETZiFVSXzYsiIZ0PUkMKP","Concert - The Cure Live","https://i.scdn.co/image/7c0e2a9d678916b8fdc64a450e441e8d3466ffd6","1984-10-22","1984-10-22",26,"Primary - Live Version (1984)","6nU5f5olz7ZteAPQzWYf6J",0.485,0.904,"A",-14.525,"major",0.0978,0.0891,0.00344,0.701,0.458,165.349,209630,4,"A major",21
"31","1ETZiFVSXzYsiIZ0PUkMKP","Concert - The Cure Live","https://i.scdn.co/image/7c0e2a9d678916b8fdc64a450e441e8d3466ffd6","1984-10-22","1984-10-22",26,"Charlotte Sometimes - Live Version (1984)","6NWfqEUfr3w7nq1z64bmz8",0.499,0.772,"A",-13.927,"minor",0.0688,0.105,0.00122,0.938,0.553,130.673,246667,4,"A minor",24
"32","1ETZiFVSXzYsiIZ0PUkMKP","Concert - The Cure Live","https://i.scdn.co/image/7c0e2a9d678916b8fdc64a450e441e8d3466ffd6","1984-10-22","1984-10-22",26,"The Hanging Garden - Live Version (1984)","4V7AtpqV5Qv2Q7yIUVswnZ",0.571,0.68,"A#",-14.408,"major",0.0383,0.118,0.0664,0.699,0.554,146.895,245160,4,"A# major",20
"33","1ETZiFVSXzYsiIZ0PUkMKP","Concert - The Cure Live","https://i.scdn.co/image/7c0e2a9d678916b8fdc64a450e441e8d3466ffd6","1984-10-22","1984-10-22",26,"Give Me It - Live Version (1984)","2rlaACvwd64OO50V3hITsz",0.207,0.971,"D",-11.494,"major",0.0722,0.00163,0.00265,0.977,0.0422,160.562,166487,4,"D major",18
"34","1ETZiFVSXzYsiIZ0PUkMKP","Concert - The Cure Live","https://i.scdn.co/image/7c0e2a9d678916b8fdc64a450e441e8d3466ffd6","1984-10-22","1984-10-22",26,"The Walk - Live Version (1984)","5Kio8PIBNZxaHnzF78Cve5",0.666,0.668,"D",-14.614,"major",0.0492,0.199,0.0893,0.713,0.847,130.531,214333,4,"D major",20
"35","1ETZiFVSXzYsiIZ0PUkMKP","Concert - The Cure Live","https://i.scdn.co/image/7c0e2a9d678916b8fdc64a450e441e8d3466ffd6","1984-10-22","1984-10-22",26,"One Hundred Years - Live Version (1984)","089TFZpgb2RvAVRDjPBQga",0.407,0.712,"C",-11.82,"major",0.0386,0.215,0.711,0.677,0.398,149.07,408811,4,"C major",19
"36","1ETZiFVSXzYsiIZ0PUkMKP","Concert - The Cure Live","https://i.scdn.co/image/7c0e2a9d678916b8fdc64a450e441e8d3466ffd6","1984-10-22","1984-10-22",26,"A Forest - Live Version (1984)","3w8wqW3j6Mt7rhcVZIGamG",0.388,0.856,"C",-13.482,"major",0.0494,0.202,0.395,0.634,0.531,159.603,406173,4,"C major",27
"37","1ETZiFVSXzYsiIZ0PUkMKP","Concert - The Cure Live","https://i.scdn.co/image/7c0e2a9d678916b8fdc64a450e441e8d3466ffd6","1984-10-22","1984-10-22",26,"10:15 Saturday Night - New Version / Live Version (1984)","74B9ZrNvWBCxXzOJwVig2R",0.381,0.718,"A",-13.772,"minor",0.0859,0.484,0.235,0.988,0.214,176.725,224667,4,"A minor",20
"38","1ETZiFVSXzYsiIZ0PUkMKP","Concert - The Cure Live","https://i.scdn.co/image/7c0e2a9d678916b8fdc64a450e441e8d3466ffd6","1984-10-22","1984-10-22",26,"Killing An Arab - New Version / Live Version (1984)","7cTWYW8xXemgwqAx64Rn6B",0.263,0.876,"A",-12.73,"major",0.0605,0.14,0.0623,0.724,0.546,178.134,171493,4,"A major",24
"39","1KS5qoTz816CsgxMFujW64","The Head On The Door","https://i.scdn.co/image/ae7f9b496df52ed2dd3b371937fde1b53f8dc79b","1985-08-26","1985-08-26",36,"Inbetween Days","1PrNA8tIeDMBq05uxkBpWF",0.528,0.776,"A",-10.003,"major",0.0343,0.122,0.0158,0.314,0.635,142.519,179440,4,"A major",36
"40","1KS5qoTz816CsgxMFujW64","The Head On The Door","https://i.scdn.co/image/ae7f9b496df52ed2dd3b371937fde1b53f8dc79b","1985-08-26","1985-08-26",36,"Kyoto Song","3jvRL9ejdW6y0Mok3RSF8I",0.706,0.69,"B",-10.93,"minor",0.0287,0.296,6.72e-05,0.111,0.815,112.566,256733,4,"B minor",27
"41","1KS5qoTz816CsgxMFujW64","The Head On The Door","https://i.scdn.co/image/ae7f9b496df52ed2dd3b371937fde1b53f8dc79b","1985-08-26","1985-08-26",36,"The Blood","6D8xRj8Aa0ZpPI7s8SAZUm",0.705,0.605,"B",-10.84,"major",0.0341,0.536,0.000332,0.0893,0.795,124.04,223400,4,"B major",26
